Year,Month,Date,Tm,Pm,TmA,PmA,P
1947,1,1947/1/01,-1.1,56,-0.245,-93.574,0
1947,2,1947/2/01,-0.4,147,0.6,10.76,1
1947,3,1947/3/01,2.9,130,2.097,-12.317,0
1947,4,1947/4/01,7.7,28,4.71,-100.37,0
1947,5,1947/5/01,8.3,122,1.36,-6.547,0
1947,6,1947/6/01,15.5,41,3.843,-34.753,0
1947,7,1947/7/01,18.1,34,1.967,9.557,1
1947,8,1947/8/01,15.7,39,0.093,9.45,1
1947,9,1947/9/01,11.4,94,-0.373,2.34,1
1947,10,1947/10/01,8.1,115,1.413,-39.433,0
1947,11,1947/11/01,7.6,49,5.337,-131.217,0
1947,12,1947/12/01,-0.6,35,-0.103,-118.64,0
1948,1,1948/1/01,0.5,139,1.355,-10.574,0
1948,2,1948/2/01,3.8,80,4.8,-56.24,0
1948,3,1948/3/01,5.4,101,4.597,-41.317,0
1948,4,1948/4/01,3.7,267,0.71,138.63,1
1948,5,1948/5/01,5.6,189,-1.34,60.453,1
1948,6,1948/6/01,13.2,24,1.543,-51.753,0
1948,7,1948/7/01,16.6,10,0.467,-14.443,0
1948,8,1948/8/01,16.3,16,0.693,-13.55,0
1948,9,1948/9/01,14.2,52,2.427,-39.66,0
1948,10,1948/10/01,7.5,109,0.813,-45.433,0
1948,11,1948/11/01,7.9,0,5.637,-180.217,0
1948,12,1948/12/01,0.7,75,1.197,-78.64,0
1949,1,1949/1/01,-1.6,72,-0.745,-77.574,0
1949,2,1949/2/01,3.9,15,4.9,-121.24,0
1949,3,1949/3/01,-0.1,103,-0.903,-39.317,0
1949,4,1949/4/01,8.8,71,5.81,-57.37,0
1949,5,1949/5/01,5.3,110,-1.64,-18.547,0
1949,6,1949/6/01,12.4,85,0.743,9.247,1
1949,7,1949/7/01,17.6,43,1.467,18.557,1
1949,8,1949/8/01,17.9,27,2.293,-2.55,0
1949,9,1949/9/01,11.1,191,-0.673,99.34,1
1949,10,1949/10/01,8.1,41,1.413,-113.433,0
1949,11,1949/11/01,2.1,234,-0.163,53.783,1
1949,12,1949/12/01,0.2,96,0.697,-57.64,0
1950,1,1950/1/01,-0.6,45,0.255,-104.574,0
1950,2,1950/2/01,0.6,70,1.6,-66.24,0
1950,3,1950/3/01,2.6,64,1.797,-78.317,0
1950,4,1950/4/01,3.7,91,0.71,-37.37,0
1950,5,1950/5/01,6.2,134,-0.74,5.453,1
1950,6,1950/6/01,13.1,14.4,1.443,-61.353,0
1950,7,1950/7/01,17.7,27,1.567,2.557,1
1950,8,1950/8/01,15.3,31.6,-0.307,2.05,1
1950,9,1950/9/01,12.5,27.3,0.727,-64.36,0
