Water Year,Year,Tm,Pm,TmA,PmA
1946-1947,1947,7.2,869.5,1.148,-503.367
1947-1948,1948,7.9,1077,1.814,-295.867
1948-1949,1949,7.6,901,1.564,-471.867
1949-1950,1950,6.8,875.3,0.739,-497.567
1950-1951,1951,5.5,1444.4,-0.569,71.533
1951-1952,1952,5.7,1875.4,-0.369,502.533
1952-1953,1953,6.6,1074.9,0.531,-297.967
1953-1954,1954,6.1,1349.4,0.073,-23.467
1954-1955,1955,7.4,1305.1,1.314,-67.767
1955-1956,1956,5.2,1422.7,-0.844,49.833
1956-1957,1957,6.2,877.5,0.181,-495.367
1957-1958,1958,5.9,1128.3,-0.202,-244.567
1958-1959,1959,6.0,1540.7,-0.094,167.833
1959-1960,1960,6.0,1323.7,-0.019,-49.167
1960-1961,1961,6.7,1589.3,0.639,216.433
1961-1962,1962,6.4,1626.3,0.348,253.433
1962-1963,1963,4.8,1523.9,-1.286,151.033
1963-1964,1964,6.6,1578.7,0.506,205.833
1964-1965,1965,5.5,1345.1,-0.536,-27.767
1965-1966,1966,6.4,1957,0.389,584.133
1966-1967,1967,5.7,1402,-0.336,29.133
1967-1968,1968,5.7,1093.8,-0.352,-279.067
1968-1969,1969,5.6,1704,-0.411,331.133
1969-1970,1970,5.9,1451.5,-0.136,78.633
1970-1971,1971,5.0,1392.1,-1.061,19.233
1971-1972,1972,4.5,1836,-1.594,463.133
1972-1973,1973,5.7,1626.4,-0.394,253.533
1973-1974,1974,5.6,1376.4,-0.461,3.533
1974-1975,1975,5.6,1449.7,-0.477,76.833
1975-1976,1976,6.0,1168.9,-0.102,-203.967
1976-1977,1977,5.0,1832.9,-1.069,460.033
1977-1978,1978,6.1,1651.1,-0.002,278.233
1978-1979,1979,6.0,1693.8,-0.102,320.933
1979-1980,1980,6.3,1495.9,0.264,123.033
1980-1981,1981,6.4,1224.7,0.306,-148.167
1981-1982,1982,7.1,1086.6,1.014,-286.267
1982-1983,1983,6.2,1048.8,0.131,-324.067
1983-1984,1984,6.2,1410,0.189,37.133
1984-1985,1985,6.6,1282.6,0.506,-90.267
1985-1986,1986,6.4,845.2,0.364,-527.667
1986-1987,1987,7.0,1233.3,0.973,-139.567
1987-1988,1988,6.5,1640,0.414,267.133
1988-1989,1989,7.6,991.9,1.581,-380.967
1989-1990,1990,7.7,1236.2,1.631,-136.667
1990-1991,1991,6.4,1020.8,0.348,-352.067
1991-1992,1992,6.8,846.1,0.723,-526.767
1992-1993,1993,6.1,914,0.031,-458.867
1993-1994,1994,6.5,1101.7,0.439,-271.167
1994-1995,1995,7.5,790.1,1.481,-582.767
1995-1996,1996,6.4,1810.2,0.339,437.333
1996-1997,1997,7.5,1517.4,1.423,144.533
1997-1998,1998,7.4,1741.2,1.373,368.333
1998-1999,1999,7.0,878,0.973,-494.867
1999-2000,2000,7.2,1203.7,1.106,-169.167
2000-2001,2001,7.0,1522.9,0.939,150.033
2001-2002,2002,7.0,1079.2,0.981,-293.667
2002-2003,2003,7.5,1393.3,1.456,20.433
2003-2004,2004,6.9,1579.1,0.873,206.233
2004-2005,2005,7.2,947.7,1.106,-425.167
2005-2006,2006,7.4,1296.3,1.364,-76.567
2006-2007,2007,7.1,1546.9,1.089,174.033
2007-2008,2008,7.2,1166.5,1.164,-206.367
2008-2009,2009,7.2,1126,1.164,-246.867
2009-2010,2010,6.9,1129,0.856,-243.867
